Mod:Item:MetaData, Localized Name
Botania:quartzTypeRed:0, 红色石英块
Botania:quartzTypeRed:1, 錾制红色石英块
Botania:quartzTypeRed:2, 竖纹红色石英块
Botania:quartzStairsRed, tile.quartzStairsRed.name
Botania:quartzTypeElf:0, 精灵石英块
Botania:quartzTypeElf:1, 錾制精灵石英块
Botania:quartzTypeElf:2, 竖纹精灵石英块
Botania:quartzStairsElf, tile.quartzStairsElf.name
Botania:quartzTypeSunny:0, 金黄石英块
Botania:quartzTypeSunny:1, 錾制金黄石英块
Botania:quartzTypeSunny:2, 竖纹金黄石英块
Botania:quartzStairsSunny, tile.quartzStairsSunny.name
Botania:biomeStoneA0Stairs, tile.biomeStoneA0Stairs.name
Botania:biomeStoneA1Stairs, tile.biomeStoneA1Stairs.name
Botania:biomeStoneA2Stairs, tile.biomeStoneA2Stairs.name
Botania:biomeStoneA3Stairs, tile.biomeStoneA3Stairs.name
Botania:biomeStoneA4Stairs, tile.biomeStoneA4Stairs.name
Botania:biomeStoneA5Stairs, tile.biomeStoneA5Stairs.name
Botania:biomeStoneA6Stairs, tile.biomeStoneA6Stairs.name
Botania:biomeStoneA7Stairs, tile.biomeStoneA7Stairs.name
Botania:biomeStoneA8Stairs, tile.biomeStoneA8Stairs.name
Botania:biomeStoneA9Stairs, tile.biomeStoneA9Stairs.name
Botania:biomeStoneA10Stairs, tile.biomeStoneA10Stairs.name
Botania:biomeStoneA11Stairs, tile.biomeStoneA11Stairs.name
Botania:biomeStoneA12Stairs, tile.biomeStoneA12Stairs.name
Botania:biomeStoneA13Stairs, tile.biomeStoneA13Stairs.name
Botania:biomeStoneA14Stairs, tile.biomeStoneA14Stairs.name
Botania:biomeStoneA15Stairs, tile.biomeStoneA15Stairs.name
Botania:biomeStoneB0Stairs, tile.biomeStoneB0Stairs.name
Botania:biomeStoneB1Stairs, tile.biomeStoneB1Stairs.name
Botania:biomeStoneB2Stairs, tile.biomeStoneB2Stairs.name
Botania:biomeStoneB3Stairs, tile.biomeStoneB3Stairs.name
Botania:biomeStoneB4Stairs, tile.biomeStoneB4Stairs.name
Botania:biomeStoneB5Stairs, tile.biomeStoneB5Stairs.name
Botania:biomeStoneB6Stairs, tile.biomeStoneB6Stairs.name
Botania:biomeStoneB7Stairs, tile.biomeStoneB7Stairs.name
Botania:biomeStoneA0Wall:0, 变质森林石墙
Botania:biomeStoneA0Wall:1, 变质平原石墙
Botania:biomeStoneA0Wall:2, 变质高山石墙
Botania:biomeStoneA0Wall:3, 变质菌丝石墙
Botania:biomeStoneA0Wall:4, 变质沼泽石墙
Botania:biomeStoneA0Wall:5, 变质沙漠石墙
Botania:biomeStoneA0Wall:6, 变质雪原石墙
Botania:biomeStoneA0Wall:7, 变质高原石墙
Botania:stone0Stairs, tile.stone0Stairs.name
Botania:stone1Stairs, tile.stone1Stairs.name
Botania:stone2Stairs, tile.stone2Stairs.name
Botania:stone3Stairs, tile.stone3Stairs.name
Botania:stone8Stairs, tile.stone8Stairs.name
Botania:stone9Stairs, tile.stone9Stairs.name
Botania:stone10Stairs, tile.stone10Stairs.name
Botania:stone11Stairs, tile.stone11Stairs.name
Botania:stone0Wall:0, 安山岩墙
Botania:stone0Wall:1, 玄武岩墙
Botania:stone0Wall:2, 闪长岩墙
Botania:stone0Wall:3, 花岗岩墙
Botania:pavement0Stairs, tile.pavement0Stairs.name
Botania:pavement1Stairs, tile.pavement1Stairs.name
Botania:pavement2Stairs, tile.pavement2Stairs.name
Botania:pavement3Stairs, tile.pavement3Stairs.name
Botania:pavement4Stairs, tile.pavement4Stairs.name
Botania:pavement5Stairs, tile.pavement5Stairs.name
Botania:endStoneBrick0Stairs, tile.endStoneBrick0Stairs.name
Botania:endStoneBrick2Stairs, tile.endStoneBrick2Stairs.name
Botania:shimmerrock0Stairs, tile.shimmerrock0Stairs.name
Botania:shimmerwoodPlanks0Stairs, tile.shimmerwoodPlanks0Stairs.name
Botania:manaGlassPane, tile.manaGlassPane.name
Botania:elfGlassPane, tile.elfGlassPane.name
Botania:bifrostPermPane, tile.bifrostPermPane.name
Botania:quartzSlabDarkHalf:0, 烟熏石英台阶
Botania:quartzSlabDarkFull:0, 烟熏石英台阶
Botania:quartzSlabManaHalf:0, 魔力石英台阶
Botania:quartzSlabManaFull:0, 魔力石英台阶
Botania:quartzSlabBlazeHalf:0, 烈焰石英台阶
Botania:quartzSlabBlazeFull:0, 烈焰石英台阶
Botania:quartzSlabLavenderHalf:0, 熏香石英台阶
Botania:quartzSlabLavenderFull:0, 熏香石英台阶
Botania:quartzSlabRedHalf:0, 红色石英台阶
Botania:quartzSlabRedFull:0, 红色石英台阶
Botania:quartzSlabElfHalf:0, 精灵石英台阶
Botania:quartzSlabElfFull:0, 精灵石英台阶
Botania:quartzSlabSunnyHalf:0, 金黄石英台阶
Botania:quartzSlabSunnyFull:0, 金黄石英台阶
Botania:livingwood0Slab:0, 活木台阶
Botania:livingwood0SlabFull:0, 活木台阶
Botania:livingwood1Slab:0, 活木台阶
Botania:livingwood1SlabFull:0, 活木台阶
Botania:livingrock0Slab:0, 活石台阶
Botania:livingrock0SlabFull:0, 活石台阶
Botania:livingrock1Slab:0, 活石砖台阶
Botania:livingrock1SlabFull:0, 活石砖台阶
Botania:dreamwood0Slab:0, 梦之木台阶
Botania:dreamwood0SlabFull:0, 梦之木台阶
Botania:dreamwood1Slab:0, 梦之木台阶
Botania:dreamwood1SlabFull:0, 梦之木台阶
Botania:reedBlock0Slab:0, 甘蔗台阶
Botania:reedBlock0SlabFull:0, 甘蔗台阶
Botania:thatch0Slab:0, 茅草台阶
Botania:thatch0SlabFull:0, 茅草台阶
Botania:prismarine0Slab:0, 海晶石台阶
Botania:prismarine0SlabFull:0, 海晶石台阶
Botania:prismarine1Slab:0, 海晶石砖台阶
Botania:prismarine1SlabFull:0, 海晶石砖台阶
Botania:prismarine2Slab:0, 深色海晶石台阶
Botania:prismarine2SlabFull:0, 深色海晶石台阶
Botania:customBrick0Slab:0, 炼狱砖台阶
Botania:customBrick0SlabFull:0, 炼狱砖台阶
Botania:customBrick1Slab:0, 灵魂砖台阶
Botania:customBrick1SlabFull:0, 灵魂砖台阶
Botania:customBrick2Slab:0, 霜冻砖台阶
Botania:customBrick2SlabFull:0, 霜冻砖台阶
Botania:customBrick3Slab:0, 瓦块台阶
Botania:customBrick3SlabFull:0, 瓦块台阶
Botania:dirtPath0Slab:0, 沙土台阶
Botania:dirtPath0SlabFull:0, 沙土台阶
Botania:endStoneBrick0Slab:0, 末地石砖台阶
Botania:endStoneBrick0SlabFull:0, 末地石砖台阶
Botania:endStoneBrick2Slab:0, 末影石砖台阶
Botania:endStoneBrick2SlabFull:0, 末影石砖台阶
Botania:shimmerrock0Slab:0, 微光石台阶
Botania:shimmerrock0SlabFull:0, 微光石台阶
Botania:shimmerwoodPlanks0Slab:0, 微光木板台阶
Botania:shimmerwoodPlanks0SlabFull:0, 微光木板台阶
Botania:biomeStoneA0Slab:0, 变质森林石头台阶
Botania:biomeStoneA0SlabFull:0, 变质森林石头台阶
Botania:biomeStoneA1Slab:0, 变质平原石头台阶
Botania:biomeStoneA1SlabFull:0, 变质平原石头台阶
Botania:biomeStoneA2Slab:0, 变质高山石头台阶
Botania:biomeStoneA2SlabFull:0, 变质高山石头台阶
Botania:biomeStoneA3Slab:0, 变质菌丝石头台阶
Botania:biomeStoneA3SlabFull:0, 变质菌丝石头台阶
Botania:biomeStoneA4Slab:0, 变质沼泽石头台阶
Botania:biomeStoneA4SlabFull:0, 变质沼泽石头台阶
Botania:biomeStoneA5Slab:0, 变质沙漠石头台阶
Botania:biomeStoneA5SlabFull:0, 变质沙漠石头台阶
Botania:biomeStoneA6Slab:0, 变质雪原石头台阶
Botania:biomeStoneA6SlabFull:0, 变质高原石头台阶
Botania:biomeStoneA7Slab:0, 变质高原石头台阶
Botania:biomeStoneA7SlabFull:0, 变质雪原石头台阶
Botania:biomeStoneA8Slab:0, 变质森林圆石台阶
Botania:biomeStoneA8SlabFull:0, 变质森林圆石台阶
Botania:biomeStoneA9Slab:0, 变质平原圆石台阶
Botania:biomeStoneA9SlabFull:0, 变质平原圆石台阶
Botania:biomeStoneA10Slab:0, 变质高山圆石台阶
Botania:biomeStoneA10SlabFull:0, 变质高山圆石台阶
Botania:biomeStoneA11Slab:0, 变质菌丝圆石台阶
Botania:biomeStoneA11SlabFull:0, 变质菌丝圆石台阶
Botania:biomeStoneA12Slab:0, 变质沼泽圆石台阶
Botania:biomeStoneA12SlabFull:0, 变质沼泽圆石台阶
Botania:biomeStoneA13Slab:0, 变质沙漠圆石台阶
Botania:biomeStoneA13SlabFull:0, 变质沙漠圆石台阶
Botania:biomeStoneA14Slab:0, 变质雪原圆石台阶
Botania:biomeStoneA14SlabFull:0, 变质雪原圆石台阶
Botania:biomeStoneA15Slab:0, 变质高原圆石台阶
Botania:biomeStoneA15SlabFull:0, 变质高原圆石台阶
Botania:biomeStoneB0Slab:0, 变质森林石砖台阶
Botania:biomeStoneB0SlabFull:0, 变质森林石砖台阶
Botania:biomeStoneB1Slab:0, 变质平原石砖台阶
Botania:biomeStoneB1SlabFull:0, 变质平原石砖台阶
Botania:biomeStoneB2Slab:0, 变质高山石砖台阶
Botania:biomeStoneB2SlabFull:0, 变质高山石砖台阶
Botania:biomeStoneB3Slab:0, 变质菌丝石砖台阶
Botania:biomeStoneB3SlabFull:0, 变质菌丝石砖台阶
Botania:biomeStoneB4Slab:0, 变质沼泽石砖台阶
Botania:biomeStoneB4SlabFull:0, 变质沼泽石砖台阶
Botania:biomeStoneB5Slab:0, 变质沙漠石砖台阶
Botania:biomeStoneB5SlabFull:0, 变质沙漠石砖台阶
Botania:biomeStoneB6Slab:0, 变质雪原石砖台阶
Botania:biomeStoneB6SlabFull:0, 变质雪原石砖台阶
Botania:biomeStoneB7Slab:0, 变质高原石砖台阶
Botania:biomeStoneB7SlabFull:0, 变质高原石砖台阶
Botania:stone0Slab:0, 安山岩台阶
Botania:stone0SlabFull:0, 安山岩台阶
Botania:stone1Slab:0, 玄武岩台阶
Botania:stone1SlabFull:0, 玄武岩台阶
Botania:stone2Slab:0, 闪长岩台阶
Botania:stone2SlabFull:0, 闪长岩台阶
Botania:stone3Slab:0, 花岗岩台阶
Botania:stone3SlabFull:0, 花岗岩台阶
Botania:stone8Slab:0, 安山岩砖台阶
Botania:stone8SlabFull:0, 安山岩砖台阶
Botania:stone9Slab:0, 玄武岩砖台阶
Botania:stone9SlabFull:0, 玄武岩砖台阶
Botania:stone10Slab:0, 闪长岩砖台阶
Botania:stone10SlabFull:0, 闪长岩砖台阶
Botania:stone11Slab:0, 花岗岩砖台阶
Botania:stone11SlabFull:0, 花岗岩砖台阶
Botania:pavement0Slab:0, 白色葡萄牙台阶
Botania:pavement0SlabFull:0, 白色葡萄牙台阶
Botania:pavement1Slab:0, 黑色葡萄牙台阶
Botania:pavement1SlabFull:0, 黑色葡萄牙台阶
Botania:pavement2Slab:0, 蓝色葡萄牙台阶
Botania:pavement2SlabFull:0, 蓝色葡萄牙台阶
Botania:pavement3Slab:0, 红色葡萄牙台阶
Botania:pavement3SlabFull:0, 红色葡萄牙台阶
Botania:pavement4Slab:0, 黄色葡萄牙台阶
Botania:pavement4SlabFull:0, 黄色葡萄牙台阶
Botania:pavement5Slab:0, 绿色葡萄牙台阶
Botania:pavement5SlabFull:0, 绿色葡萄牙台阶
chocolateQuest:CQSpawner, tile.CQSpawner.name
chocolateQuest:exporter,  Exporter Block
chocolateQuest:armorStand,  Armor Stand
chocolateQuest:bannerStand,  Banner Holder
chocolateQuest:table, 台桌
chocolateQuest:dungeonBrick:0, Dungeon Brick
chocolateQuest:dungeonBrick:1, Dungeon Brick
chocolateQuest:dungeonBrick:2, Dungeon Brick
chocolateQuest:dungeonBrick:3, Dungeon Brick
chocolateQuest:dungeonBrick:4, Dungeon Brick
chocolateQuest:dungeonBrick:5, Dungeon Brick
chocolateQuest:dungeonBrick:6, Dungeon Brick
chocolateQuest:dungeonBrick:7, Dungeon Brick
chocolateQuest:dungeonBrick:8, Dungeon Brick
chocolateQuest:dungeonBrick:9, Dungeon Brick
chocolateQuest:dungeonBrick:10, Dungeon Brick
chocolateQuest:dungeonBrick:11, Dungeon Brick
chocolateQuest:dungeonBrick:12, Dungeon Brick
chocolateQuest:dungeonBrick:13, Dungeon Brick
chocolateQuest:dungeonBrick:14, Dungeon Brick
chocolateQuest:dungeonBrick:15, Dungeon Brick
chocolateQuest:exporterChest:0, tile.ExporterChest.name
chocolateQuest:exporterChest:1, tile.ExporterChest.name
chocolateQuest:exporterChest:2, tile.ExporterChest.name
chocolateQuest:exporterChest:3, tile.ExporterChest.name
chocolateQuest:exporterChest:4, tile.ExporterChest.name
chocolateQuest:none, tile.none.name
DraconicEvolution:xRayBlock, 透视方块
DraconicEvolution:weatherController, 气象控制器
DraconicEvolution:sunDial, 日晷
DraconicEvolution:draconiumOre, 龙矿
DraconicEvolution:grinder, 怪物磨床
DraconicEvolution:potentiometer, 电位计
DraconicEvolution:rainSensor, 雨水传感器
DraconicEvolution:particleGenerator, 粒子发生器
DraconicEvolution:playerDetector, 玩家探测器
DraconicEvolution:playerDetectorAdvanced, 高级玩家探测器
DraconicEvolution:energyInfuser, 能量注入器
DraconicEvolution:customSpawner, 稳定刷怪笼
DraconicEvolution:generator, 发电机
DraconicEvolution:energyStorageCore, 能量核心
DraconicEvolution:earth, Earth
DraconicEvolution:draconium:0, 龙块
DraconicEvolution:draconium:1, 重生之石
DraconicEvolution:draconium:2, 充能龙块
DraconicEvolution:invisibleMultiblock, 能量核心(隐藏)
DraconicEvolution:energyPylon, 能量塔
DraconicEvolution:placedItem, tile.draconicevolution:placedItem.name
DraconicEvolution:safetyFlame, tile.draconicevolution:safetyFlame.name
DraconicEvolution:cKeyStone:0, 创造锁
DraconicEvolution:cKeyStone:1, 创造锁
DraconicEvolution:cKeyStone:2, 创造锁
DraconicEvolution:cKeyStone:3, 创造锁
DraconicEvolution:dissEnchanter, 祛魔台
DraconicEvolution:teleporterStand, 错位宝石底座
DraconicEvolution:draconiumChest, 龙箱
DraconicEvolution:draconicBlock, 觉醒龙块
DraconicEvolution:energyCrystal:0, 能量中继器
DraconicEvolution:energyCrystal:1, 高级能量中继器
DraconicEvolution:energyCrystal:2, 能量收发器
DraconicEvolution:energyCrystal:3, 高级能量收发器
DraconicEvolution:energyCrystal:4, 无线能量收发器
DraconicEvolution:energyCrystal:5, 高级无线收发器
DraconicEvolution:infusedObsidian, 注入龙力的黑曜石
DraconicEvolution:dislocatorReceptacle, 错位容器
DraconicEvolution:portal, 传送门
DraconicEvolution:reactorCore, 反应堆核心
DraconicEvolution:flowGate:0, 能量阀门
DraconicEvolution:flowGate:6, 流体阀门
DraconicEvolution:reactorStabilizer, 反应堆稳定器
DraconicEvolution:reactorEnergyInjector, 反应堆能量喷射器
DraconicEvolution:chaosCrystal, 混沌晶体
DraconicEvolution:upgradeModifier, 升级调整器
DraconicEvolution:longRangeDislocator:1, 创造错位宝石
DraconicEvolution:chaosShardAtmos, tile.draconicevolution:chaosShardAtmos.name
etfuturum:stone:1, Granite
etfuturum:stone:2, Polished Granite
etfuturum:stone:3, Diorite
etfuturum:stone:4, Polished Diorite
etfuturum:stone:5, Andesite
etfuturum:stone:6, Polished Andesite
etfuturum:iron_trapdoor, Iron Trapdoor
etfuturum:prismarine_block:0, Prismarine
etfuturum:prismarine_block:1, Prismarine Bricks
etfuturum:prismarine_block:2, Dark Prismarine
etfuturum:sea_lantern, Sea Lantern
etfuturum:daylight_detector_inverted, Inverted Daylight Sensor
etfuturum:red_sandstone:0, Red Sandstone
etfuturum:red_sandstone:1, Chiseled Red Sandstone
etfuturum:red_sandstone:2, Smooth Red Sandstone
etfuturum:red_sandstone_slab, Red Sandstone Slab
etfuturum:red_sandstone_stairs, Red Sandstone Stairs
etfuturum:brown_mushroom, Mushroom
etfuturum:red_mushroom, Mushroom
etfuturum:coarse_dirt, Coarse Dirt
etfuturum:banner:15, Black Banner
etfuturum:banner:14, Red Banner
etfuturum:banner:13, Green Banner
etfuturum:banner:12, Brown Banner
etfuturum:banner:11, Blue Banner
etfuturum:banner:10, Purple Banner
etfuturum:banner:9, Cyan Banner
etfuturum:banner:8, Light Gray Banner
etfuturum:banner:7, Gray Banner
etfuturum:banner:6, Pink Banner
etfuturum:banner:5, Lime Banner
etfuturum:banner:4, Yellow Banner
etfuturum:banner:3, Light Blue Banner
etfuturum:banner:2, Magenta Banner
etfuturum:banner:1, Orange Banner
etfuturum:banner:0, White Banner
etfuturum:slime, Slime Block
etfuturum:sponge:0, Sponge
etfuturum:sponge:1, Wet Sponge
etfuturum:old_gravel, Old Gravel
etfuturum:beetroots, Beetroots
etfuturum:purpur_block, Purpur Block
etfuturum:purpur_pillar, Purpur Pillar
etfuturum:purpur_stairs, Purpur Stairs
etfuturum:purpur_slab, Purpur Slab
etfuturum:end_bricks, End Stone Bricks
etfuturum:grass_path, Grass Path
etfuturum:end_rod, End Rod
etfuturum:chorus_plant, Chorus Plant
etfuturum:chorus_flower, Chorus Flower
etfuturum:crying_obsidian, Crying Obsidian
etfuturum:frosted_ice, Frosted Ice
etfuturum:brewing_stand, Brewing Stand
etfuturum:rose, Rose
etfuturum:beacon, Beacon
etfuturum:enchantment_table, Enchantment Table
etfuturum:anvil:0, Anvil
etfuturum:anvil:1, Slightly Damaged Anvil
etfuturum:anvil:2, Very Damaged Anvil
etfuturum:daylight_sensor, Daylight Sensor
etfuturum:door_spruce, Spruce Door
etfuturum:door_birch, Birch Door
etfuturum:door_jungle, Jungle Door
etfuturum:door_acacia, Acacia Door
etfuturum:door_dark_oak, Dark Oak Door
etfuturum:fence_oak, Oak Fence
etfuturum:fence_spruce, Spruce Fence
etfuturum:fence_birch, Birch Fence
etfuturum:fence_jungle, Jungle Fence
etfuturum:fence_acacia, Acacia Fence
etfuturum:fence_dark_oak, Dark Oak Fence
etfuturum:fence_gate_spruce, Spruce Fence Gate
etfuturum:fence_gate_birch, Birch Fence Gate
etfuturum:fence_gate_jungle, Jungle Fence Gate
etfuturum:fence_gate_acacia, Acacia Fence Gate
etfuturum:fence_gate_dark_oak, Dark Oak Fence Gate
ExtraBotany:relicplate, tile.relicplate.name
ExtraBotany:specialFlower, tile.specialFlower.name
ExtraBotany:blockgaiaquartz, 盖亚石英块
ExtraBotany:quartzStairsGaia, tile.quartzStairsGaia.name
ExtraBotany:blockelvenquartz, 源质石英块
ExtraBotany:quartzStairsElven, tile.quartzStairsElven.name
ExtraBotany:gaiachest, 盖亚的宝箱
ExtraBotany:blockgaiaquartz0Slab:0, 盖亚石英台阶
ExtraBotany:blockgaiaquartz0SlabFull:0, tile.botania:blockgaiaquartz0SlabFull.name
ExtraBotany:blockelvenquartz0Slab:0, 源质石英台阶
ExtraBotany:blockelvenquartz0SlabFull:0, tile.botania:blockelvenquartz0SlabFull.name
ImmersiveEngineering:ore:0, 铜矿石
ImmersiveEngineering:ore:1, 铝土矿石
ImmersiveEngineering:ore:2, 铅矿石
ImmersiveEngineering:ore:3, 银矿石
ImmersiveEngineering:ore:4, 镍矿石
ImmersiveEngineering:storage:0, 铜块
ImmersiveEngineering:storage:1, 铝块
ImmersiveEngineering:storage:2, 铅块
ImmersiveEngineering:storage:3, 银块
ImmersiveEngineering:storage:4, 镍块
ImmersiveEngineering:storage:5, 康铜块
ImmersiveEngineering:storage:6, 琥珀金块
ImmersiveEngineering:storage:7, 钢块
ImmersiveEngineering:storage:8, 铜线圈
ImmersiveEngineering:storage:9, 琥珀金线圈
ImmersiveEngineering:storage:10, 高压线圈
ImmersiveEngineering:storageSlab:0, 铜台阶
ImmersiveEngineering:storageSlab:1, 铝台阶
ImmersiveEngineering:storageSlab:2, 铅台阶
ImmersiveEngineering:storageSlab:3, 银台阶
ImmersiveEngineering:storageSlab:4, 镍台阶
ImmersiveEngineering:storageSlab:5, 康铜台阶
ImmersiveEngineering:storageSlab:6, 琥珀金台阶
ImmersiveEngineering:storageSlab:7, 钢台阶
ImmersiveEngineering:stoneSlab:0, 麻凝土台阶
ImmersiveEngineering:stoneSlab:1, 混凝土台阶
ImmersiveEngineering:stoneSlab:2, 混凝土砖台阶
ImmersiveEngineering:metalDevice:0, 低压接线器
ImmersiveEngineering:metalDevice:1, 低压电容器
ImmersiveEngineering:metalDevice:1, 低压电容器
ImmersiveEngineering:metalDevice:2, 中压接线器
ImmersiveEngineering:metalDevice:3, 中压电容器
ImmersiveEngineering:metalDevice:3, 中压电容器
ImmersiveEngineering:metalDevice:4, 变压器
ImmersiveEngineering:metalDevice:5, 高压继电器
ImmersiveEngineering:metalDevice:6, 高压接线器
ImmersiveEngineering:metalDevice:7, 高压电容器
ImmersiveEngineering:metalDevice:7, 高压电容器
ImmersiveEngineering:metalDevice:8, 高压变压器
ImmersiveEngineering:metalDevice:9, 动能发电机
ImmersiveEngineering:metalDevice:10, 热传导发电机
ImmersiveEngineering:metalDevice:11, 传送带
ImmersiveEngineering:metalDevice:12, 外置加热器
ImmersiveEngineering:metalDevice:13, 物品路由器
ImmersiveEngineering:metalDevice:14, 岩芯钻井
ImmersiveEngineering:metalDevice:15, 卸货传送带
ImmersiveEngineering:metalDevice2:0, 断路刀闸
ImmersiveEngineering:metalDevice2:2, 电流互感器
ImmersiveEngineering:metalDevice2:3, 电灯
ImmersiveEngineering:metalDevice2:4, 泛光灯
ImmersiveEngineering:metalDevice2:5, 输液管
ImmersiveEngineering:metalDevice2:6, 液泵
ImmersiveEngineering:metalDevice2:7, 金属桶
ImmersiveEngineering:metalDevice2:8, 创造电容器
ImmersiveEngineering:metalDevice2:9, 红石断路器
ImmersiveEngineering:metalDevice2:10, 充电站
ImmersiveEngineering:metalDevice2:11, 高炉鼓风机
ImmersiveEngineering:metalDecoration:0, 钢栅栏
ImmersiveEngineering:metalDecoration:1, 钢制脚手架
ImmersiveEngineering:metalDecoration:2, 灯
ImmersiveEngineering:metalDecoration:3, 钢制臂架构
ImmersiveEngineering:metalDecoration:4, 散热器模块
ImmersiveEngineering:metalDecoration:5, 重型工程块
ImmersiveEngineering:metalDecoration:6, 发电机模块
ImmersiveEngineering:metalDecoration:7, 轻型工程块
ImmersiveEngineering:metalDecoration:8, 钢制接线器
ImmersiveEngineering:metalDecoration:9, 钢制壁挂支架
ImmersiveEngineering:metalDecoration:10, 金属板方块
ImmersiveEngineering:metalDecoration:11, 钢制脚手架
ImmersiveEngineering:metalDecoration:12, 铝栅栏
ImmersiveEngineering:metalDecoration:13, 铝制脚手架
ImmersiveEngineering:metalDecoration:14, 铝制脚手架
ImmersiveEngineering:metalDecoration:15, 铝制臂架构
ImmersiveEngineering:metalDecoration2:0, 铝板金属块
ImmersiveEngineering:metalDecoration2:1, 铅板金属块
ImmersiveEngineering:metalDecoration2:2, 钢板金属块
ImmersiveEngineering:metalMultiblock:0, 避雷针基座
ImmersiveEngineering:metalMultiblock:2, 工业挤压机
ImmersiveEngineering:metalMultiblock:3, 发酵机
ImmersiveEngineering:woodenDevice:0, 木杆
ImmersiveEngineering:woodenDevice:1, 水车
ImmersiveEngineering:woodenDevice:2, 风车
ImmersiveEngineering:woodenDevice:3, 改良风车
ImmersiveEngineering:woodenDevice:4, 木质储存箱
ImmersiveEngineering:woodenDevice:5, 工程师装配台
ImmersiveEngineering:woodenDevice:6, 木桶
ImmersiveEngineering:woodenDecoration:1, 防腐木栅栏
ImmersiveEngineering:woodenDecoration:2, 防腐木台阶
ImmersiveEngineering:woodenDecoration:4, 防腐木台阶
ImmersiveEngineering:woodenDecoration:5, 防腐木脚手架
ImmersiveEngineering:woodenDecoration:6, 木质壁挂支架
ImmersiveEngineering:treatedWood:0, 防腐木板
ImmersiveEngineering:treatedWood:1, 防腐木板
ImmersiveEngineering:treatedWood:2, 防腐木板
ImmersiveEngineering:woodenStairs, 防腐木楼梯
ImmersiveEngineering:woodenStairs1, 防腐木楼梯
ImmersiveEngineering:woodenStairs2, 防腐木楼梯
ImmersiveEngineering:stoneDevice:4, 绝缘玻璃
ImmersiveEngineering:stoneDecoration:0, 麻凝土
ImmersiveEngineering:stoneDecoration:1, 焦炉砖
ImmersiveEngineering:stoneDecoration:2, 高炉砖
ImmersiveEngineering:stoneDecoration:3, 焦煤块
ImmersiveEngineering:stoneDecoration:4, 混凝土
ImmersiveEngineering:stoneDecoration:5, 混凝土砖
ImmersiveEngineering:stoneDecoration:6, 强化高炉砖
ImmersiveEngineering:concreteStairs, 混凝土楼梯
ImmersiveEngineering:concreteTileStairs, 混凝土砖楼梯
ImmersiveEngineering:hemp, 工业大麻
ImmersiveEngineering:fakeLight, tile.ImmersiveEngineering.fakeLight.name
ImmersiveEngineering:clothDevice, tile.ImmersiveEngineering.clothDevice.name
TConstruct:liquid.slime, 液态史莱姆
TConstruct:MeatBlock, 火腿块
TConstruct:WoolSlab1:0, 浅灰色羊毛台阶
TConstruct:WoolSlab1:1, 青色羊毛台阶
TConstruct:WoolSlab1:2, 紫色羊毛台阶
TConstruct:WoolSlab1:3, 蓝色羊毛台阶
TConstruct:WoolSlab1:4, 棕色羊毛台阶
TConstruct:WoolSlab1:5, 绿色羊毛台阶
TConstruct:WoolSlab1:6, 红色羊毛台阶
TConstruct:WoolSlab1:7, 黑色羊毛台阶
TConstruct:WoolSlab2:0, 灰色羊毛台阶
TConstruct:WoolSlab2:1, 灰色羊毛台阶
TConstruct:WoolSlab2:2, 灰色羊毛台阶
TConstruct:WoolSlab2:3, 灰色羊毛台阶
TConstruct:WoolSlab2:4, 灰色羊毛台阶
TConstruct:WoolSlab2:5, 灰色羊毛台阶
TConstruct:WoolSlab2:6, 灰色羊毛台阶
TConstruct:WoolSlab2:7, 灰色羊毛台阶
TConstruct:trap.punji, 尖竹钉
TConstruct:trap.barricade.oak, 橡木篱笆
TConstruct:trap.barricade.spruce, 云杉木篱笆
TConstruct:trap.barricade.birch, 白桦木篱笆
TConstruct:trap.barricade.jungle, 丛林木篱笆
TConstruct:explosive.slime:0, SDX粘性炸药
TConstruct:explosive.slime:2, SDX粘性炸药
TConstruct:slime.gel:0, 蓝色凝固史莱姆块
TConstruct:slime.gel:1, 绿色凝固史莱姆块
TConstruct:slime.gel:2, 紫色凝固史莱姆块
TConstruct:slime.grass:0, 史莱姆草方块
TConstruct:slime.grass.tall:0, 史莱姆草
TConstruct:slime.leaves:0, 史莱姆树叶
TConstruct:slime.sapling:0, 史莱姆树苗
TConstruct:slime.channel, 史莱姆通道
TConstruct:blood.channel, 血通道
TConstruct:slime.pad, 弹跳板
TConstruct:decoration.stonetorch, 石柄火把
TConstruct:decoration.stoneladder, 石头梯子
TConstruct:decoration.multibrick:0, 黑曜石砖块
TConstruct:decoration.multibrick:1, 沙石砖块
TConstruct:decoration.multibrick:2, 平滑地狱岩砖块
TConstruct:decoration.multibrick:3, 抛光石砖块
TConstruct:decoration.multibrick:4, 铁砖块
TConstruct:decoration.multibrick:5, 金砖块
TConstruct:decoration.multibrick:6, 青金石砖块
TConstruct:decoration.multibrick:7, 钻石砖块
TConstruct:decoration.multibrick:8, 红石砖块
TConstruct:decoration.multibrick:9, 白骨砖块
TConstruct:decoration.multibrick:10, 史莱姆砖块
TConstruct:decoration.multibrick:11, 蓝色史莱姆砖块
TConstruct:decoration.multibrick:12, 末地石砖块
TConstruct:decoration.multibrick:13, 黑曜石锭砖块
TConstruct:decoration.multibrickfancy:0, 平滑黑曜石砖块
TConstruct:decoration.multibrickfancy:1, 平滑沙石砖块
TConstruct:decoration.multibrickfancy:2, 平滑地狱岩砖块
TConstruct:decoration.multibrickfancy:3, 平滑抛光石砖块
TConstruct:decoration.multibrickfancy:4, 平滑铁砖块
